tag,名称,时代,详细年代,类别,进阶类别,尺寸,材质,外观形式,工艺,主题,位置,标签,产地,来源,原名,风格流派,款识印记,题跋,文字释文,作者
photo_001,绿釉贴塑人面纹陶壶,南北朝,北朝,陶器,日用品,高 26.5 厘米，口径 11.1 厘米，底径 11.8 厘米,陶,壶,绿釉、贴花,抽象花样、几何纹、人物,中国古代陶瓷馆,陶 北朝 日用品 壶 绿釉 贴花 抽象花样 几何纹 人物,,,,,,,,
photo_002,绿釉模印花卉纹花口盘,唐,,瓷器,日用品,高 3.5 厘米，口长 18.5 厘米，底长 7.9 厘米,瓷,盘,绿釉、印花,花卉,中国古代陶瓷馆,瓷 日用品 盘 长沙窑 绿釉 印花 花卉,长沙窑,李雪莱、林嗣淇捐赠,,,,,,
photo_003,青釉刻划花卉纹粮罂瓶,宋,北宋,瓷器,日用品,通高 24.6 厘米，口径 9.7 厘米，腹径 15.5 厘米，足径 8.2 厘米,瓷,瓶,青釉、刻划,云纹、莲花,中国古代陶瓷馆,瓷 北宋 日用品 瓶 越窑 青釉 刻划 云纹 莲花,越窑,,越窑青釉刻划花卉纹粮罂瓶,,,,,
photo_004,白地黑彩云雁纹罐,元,,瓷器,日用品,高 33.8 厘米，口径 17.5 厘米，底径 14.6 厘米，腹围 114.5 厘米，腹径 36.3 厘米,瓷,罐,彩绘,,中国古代陶瓷馆,瓷 日用品 罐 磁州窑 彩绘 云纹 雁 弦纹,磁州窑,,磁州窑白地黑彩云雁纹罐,云纹、雁、弦纹,,,,
photo_005,珍珠地划花花卉纹瓶,宋,北宋,瓷器,日用品,高 39.2 厘米，口径 7 厘米，足径 9 厘米,瓷,瓶,划花,珍珠地,中国古代陶瓷馆,瓷 北宋 日用品 瓶 登封窑 划花 珍珠地,登封窑,,登封窑珍珠地划花梅瓶,,,,,
photo_006,五彩鱼藻纹罐,明,嘉靖,瓷器,日用品,高 35.3 厘米，口径 20.3 厘米，底径 25.5 厘米，腹径 40.4 厘米，腹围 127.5 厘米,瓷,罐,五彩,鱼、莲叶、水草、莲瓣纹、火焰纹,中国古代陶瓷馆,瓷 嘉靖 日用品 罐 景德镇窑 五彩 鱼 莲叶 水草 莲瓣纹 火焰纹,景德镇窑,,景德镇窑五彩鱼藻纹罐,,,,,
photo_007,青花龙凤纹环耳瓶,明,万历,瓷器,日用品,高 20 厘米，口径 4.7 厘米，足径 8.1 厘米,瓷,瓶,青花,龙、凤、云纹、神兽、花朵纹、草叶、卷草纹,中国古代陶瓷馆,瓷 万历 日用品 瓶 景德镇窑 青花 龙 凤 云纹 神兽 花朵纹 草叶 卷草纹,景德镇窑,倪汉克捐赠,景德镇窑万历款青花龙凤纹环耳瓶,,大明万历年制,,,
photo_008,青花孔雀牡丹纹瓶,明,正统-天顺,瓷器,日用器,高 35.5 厘米，口径 6.1 厘米，底径 12.1 厘米，腹径 20.5 厘米,瓷,瓶,青花,牡丹、孔雀、弦纹、莲瓣纹,中国古代陶瓷馆,瓷 正统-天顺 日用器 瓶 景德镇窑 青花 牡丹 孔雀 弦纹 莲瓣纹,景德镇窑,,景德镇窑青花孔雀牡丹纹瓶,,,,,
photo_009,豆青釉刻花云纹水盂,清,康熙,瓷器,日用品,高 6.5 厘米，口径 4.3 厘米，足径 8.1 厘米,瓷,水盂,豆青釉、刻花,云纹,中国古代陶瓷馆,瓷 康熙 日用品 水盂 景德镇窑 豆青釉 刻花 云纹,景德镇窑,,景德镇窑豆青釉刻花云龙纹水盂,,大清康熙年制,,,
photo_010,青花唐英题记缠枝莲纹觚,清,乾隆五年,瓷器,陈设/观赏品,高 64.7 厘米，口径 26.7 厘米，底径 23.5 厘米，腹径 18.4 厘米,瓷,觚,青花,如意纹、回纹、莲瓣纹、草叶、缠枝纹、莲花、开光,中国古代陶瓷馆,瓷 乾隆五年 陈设/观赏品 觚 景德镇窑 青花 如意纹 回纹 莲瓣纹 草叶 缠枝纹 莲花 开光,景德镇窑,,景德镇窑唐英款青花串枝莲纹觚,,养心殿总监造钦命督理江西陶政兼管江南淮宿海三关暨江西九江湖口大孤塘等关税课内务府庆丰司员外郎兼佐领加五级沈阳唐英敬制,养心殿总监造 钦命督理江西陶政兼管江南淮宿海三关暨江西九江湖口大孤塘等关税课 内务府庆丰司员外郎兼佐领加五级沈阳唐英敬制五供全分虔献东直门外壩北长店村四道街东口天仙圣母殿前永远供奉 大清乾隆五年十月 朔日,,
photo_011,青花胭脂红福寿纹螭耳瓶,清,乾隆,瓷器,日用品,高 53.3 厘米，口径 14.3 厘米，底径 18.4 厘米，腹围 89.0 厘米，径 27.9 厘米,瓷,瓶,青花、彩绘,云纹、蝙蝠、寿字,中国古代陶瓷馆,瓷 乾隆 日用品 瓶 景德镇窑 青花 彩绘 云纹 蝙蝠 寿字,景德镇窑,,景德镇窑青花胭脂红福寿纹龙耳瓶,,大清乾隆年制,,,
photo_012,粉彩石榴纹戟耳瓶,清,嘉庆,瓷器,日用品,高 27.2 厘米，口径 10.8 厘米，底径 11.6 厘米,瓷,瓶,粉彩,石榴、几何纹,中国古代陶瓷馆,瓷 嘉庆 日用品 瓶 景德镇窑 粉彩 石榴 几何纹,景德镇窑,,景德镇窑粉彩石榴纹戟耳瓶,,大清嘉庆年制,,,
photo_013,蓝釉描金缠枝花卉纹三管瓶,清,咸丰,瓷器,陈设/观赏品,高 27.1 厘米，口径 2.5 厘米，底径 8.9 厘米,瓷,瓶,蓝釉、描金,缠枝纹、回纹、莲瓣纹、吉庆有余、蝙蝠、吉祥,中国古代陶瓷馆,瓷 咸丰 陈设/观赏品 瓶 景德镇窑 蓝釉 描金 缠枝纹 回纹 莲瓣纹 吉庆有余 蝙蝠 吉祥,景德镇窑,,景德镇窑蓝釉描金花卉纹三管瓶,,大清咸丰年制,,,
photo_014,粉彩花鸟纹瓜楞瓶,清,雍正,瓷器,日用品、陈设,高 45 厘米，口径 12.4 厘米，底径 13.6 厘米,瓷,瓶,粉彩,花鸟,中国古代陶瓷馆,瓷 雍正 日用品 陈设 瓶 景德镇窑 粉彩 花鸟,景德镇窑,,景德镇窑粉彩花鸟纹瓜楞形瓶,,,,,
photo_015,釉里红鱼藻纹缸,清,康熙,瓷器,日用品,高 28.9 厘米，口径 32.1 厘米，底径 25.9 厘米，腹径 131.3 厘米,瓷,缸,釉里红,波浪、荷叶、水草、鱼,中国古代陶瓷馆,瓷 康熙 日用品 缸 景德镇窑 釉里红 波浪 荷叶 水草 鱼,景德镇窑,,景德镇窑釉里红鱼藻纹缸,,,,,
photo_016,青釉刻花花卉纹执壶,明,,瓷器,日用品,高 32 厘米，口径 8.6 厘米，底径 10.1 厘米，流至把长 23.6 厘米,瓷,执壶,青釉、刻划,花卉,中国古代陶瓷馆,瓷 日用品 执壶 龙泉窑 青釉 刻划 花卉,龙泉窑,,龙泉窑青釉印花执壶,,,,,
photo_017,白釉贴花鹤鹿纹葫芦瓶,清,,瓷器,日用品、陈设/观赏品,高 36.5 厘米，口径 5.2 厘米，底径 11.4 厘米，腹围 61.5 厘米,瓷,葫芦瓶,白釉、贴花,山石、岁寒三友、鹿、鹤、长寿,中国古代陶瓷馆,瓷 日用品 陈设/观赏品 葫芦瓶 漳州窑 白釉 贴花 山石 岁寒三友 鹿 鹤 长寿,漳州窑,,漳州窑白釉贴花松竹梅鹤鹿纹葫芦瓶,,,,,
photo_018,景德镇窑五彩描金花蝶纹攒盘,清,康熙,瓷器,日用品,连盖高 15.4 厘米，底径 33.5 厘米，腹围 133.7 厘米,瓷,盘,五彩、描金,花卉、蝴蝶,诗心造物——江南工艺的世界,瓷 康熙 日用品 盘 景德镇窑 五彩 描金 花卉 蝴蝶,景德镇窑,,景德镇窑五彩花果纹十二格盘,,,,,
photo_019,景德镇窑红彩双鹿纹鸟食罐,清,嘉庆,瓷器,玩具,高 3.9 厘米，口径 5.2 厘米,瓷,鸟食罐,釉上彩,鹿,诗心造物——江南工艺的世界,瓷 嘉庆 玩具 鸟食罐 景德镇窑 釉上彩 鹿,景德镇窑,1956 年顾丽江捐赠,,,,,,
photo_020,景德镇窑青花缠枝牡丹纹瓶,元,,瓷器,日用品,高 41.9 厘米，口径 6.1 厘米，足径 13.9 厘米,瓷,瓶,青花,卷草纹、缠枝莲花纹、缠枝牡丹纹、仰莲瓣纹,,瓷 日用品 瓶 景德镇窑 青花 卷草纹 缠枝莲花纹 缠枝牡丹纹 仰莲瓣纹,景德镇窑,,,,,,,
photo_021,粉彩描金伯顿与海德家族纹章壶,清,雍正,瓷器,日用品,高 24.8厘米 ，口径 11.4厘米 ，足径 10.0厘米,瓷,壶,广彩、描金,符号、花边、灵芝、莲花、缠枝纹,陶瓷与中外交流专题馆,瓷 雍正 日用品 壶 景德镇窑 广彩 描金 符号 花边 灵芝 莲花 缠枝纹,景德镇窑,,广彩描金纹章纹壶,,,,,
photo_022,青花英国东印度公司纹章盘,清,乾隆、嘉庆,瓷器,日用品,高 5.2厘米 ，口径 24.5厘米 ，底径 14.8厘米,瓷,盘,青花,符号、几何纹、蝴蝶、花卉、花边,陶瓷与中外交流专题馆,瓷 乾隆 嘉庆 日用品 盘 景德镇窑 青花 符号 几何纹 蝴蝶 花卉 花边,景德镇窑,胡惠春、王华云捐赠,清乾隆景德镇窑青花纹章图盘,,,,,
photo_023,广彩波内家族纹章汤盆,清,乾隆,瓷器,日用品,盖高 9.0厘米 ，盆高 9.8厘米 ，盘高 3.9厘米 ，盘口 35 × 26.8厘米 ，盘底 23.4 × 15.4厘米,瓷,盆,广彩、描金,符号、花鸟、缠枝花,陶瓷与中外交流专题馆,瓷 乾隆 日用品 盆 景德镇窑 广彩 描金 符号 花鸟 缠枝花,景德镇窑,,广彩描金纹章纹盆,,,,,
photo_024,青花海水飞马纹碗,明,万历,瓷器,日用品,高 10.3厘米 ，口径 21.8厘米 ，足径 8.8厘米,瓷,碗,青花、印花,马、神兽、如意纹、波涛纹、弦纹,陶瓷与中外交流专题馆,瓷 万历 日用品 碗 景德镇窑 青花 印花 马 神兽 如意纹 波涛纹 弦纹,景德镇窑,叙利亚,景德镇窑青花刻花飞马纹碗,,,,,
photo_025,青花花卉纹高足杯,其他,15世纪,瓷器,日用品,高 9.4厘米 ，口径 9.3厘米 ，足径 3.7厘米,瓷,高足杯,青花,花卉、缠枝纹、如意纹,陶瓷与中外交流专题馆,瓷 15世纪 日用品 高足杯 越南 青花 花卉 缠枝纹 如意纹,越南,,15世纪越南青花缠枝菊花纹高足杯,,,,,
photo_026,青花开光锦地花卉纹瓶,其他,15世纪、16世纪,瓷器,日用品,高 25.5厘米 ，底径 7.5厘米,瓷,瓶,青花,花卉、草叶、几何纹,陶瓷与中外交流专题馆,瓷 15世纪 16世纪 日用品 瓶 越南 青花 花卉 草叶 几何纹,越南,,15-16世纪越南青花开光花卉纹瓶,,,,,
photo_027,白釉蓝彩开光博古花卉纹瓶,其他,17世纪,陶器,日用品,高 27.1厘米 ，口径 5.0厘米 ，足径 11.5厘米,陶,瓶,彩绘,花卉、花边、如意纹、几何纹,陶瓷与中外交流专题馆,陶 17世纪 日用品 瓶 葡萄牙 彩绘 花卉 花边 如意纹 几何纹,葡萄牙,,,,,,,
photo_028,白釉蓝彩开光狮纹盘,其他,17世纪,陶器,日用品,高 5.0厘米 ，口径 39.0厘米 ，足径 24.3厘米,陶,盘,彩绘,狮子、花卉、花边、几何纹,陶瓷与中外交流专题馆,陶 17世纪 日用品 盘 葡萄牙 彩绘 狮子 花卉 花边 几何纹,葡萄牙,,,,,,,
photo_029,白釉蓝彩开光花卉纹罐,其他,17世纪,陶器,日用品,高 37.9厘米 ，口径 16.8厘米 ，底径 19.3厘米,陶,罐,彩绘,花卉、如意纹、几何纹、花边,陶瓷与中外交流专题馆,陶 17世纪 日用品 罐 葡萄牙 彩绘 花卉 如意纹 几何纹 花边,葡萄牙,,,,,,,
